"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg00606102,0.19,0.012,0.97,1.00,chr16,86542659,FOXF1,TSS1500,,
cg18214379,0.26,0.012,0.97,1.00,chr8,97172480,GDF6,Body,,
cg18970824,-0.53,0.012,0.97,1.00,chr14,104662402,,,,
cg20697984,0.18,0.012,0.97,1.00,chr6,18122993,NHLRC1,TSS200,,
cg06962177,0.37,0.012,0.97,1.00,chr1,63785946,,,,
cg21962450,-0.26,0.012,0.97,1.00,chr18,24444196,AQP4;C18orf16,Body;TSS1500,,
cg06260059,0.16,0.012,0.97,1.00,chr2,32236023,MEMO1;MEMO1,TSS1500;TSS1500,,
cg12648671,0.41,0.012,0.97,1.00,chr18,77377538,,,,
cg25759533,-0.21,0.012,0.97,1.00,chr19,6232399,MLLT1,Body,,
cg07229688,-0.13,0.012,0.97,1.00,chr18,59564213,,,,
cg08374291,-0.15,0.012,0.97,1.00,chr11,108338329,C11orf65,TSS200,,
cg01837631,0.15,0.012,0.97,1.00,chr16,68340409,SLC7A6OS,Body,,
cg02133183,0.22,0.012,0.97,1.00,chr10,86088262,FAM190B,TSS200,,
cg08575537,0.23,0.012,0.97,1.00,chr7,100318626,EPO,Body,,
cg21644856,0.26,0.012,0.97,1.00,chr17,80693292,FN3K,TSS200,,
cg11965671,0.32,0.012,0.97,1.00,chr5,159739797,CCNJL,TSS1500,,
cg06654510,-0.20,0.012,0.97,1.00,chr11,119993914,TRIM29,Body,,
cg11333835,0.35,0.012,0.97,1.00,chr1,23495430,LUZP1;LUZP1,TSS200;TSS200,,
cg24236591,0.18,0.012,0.97,1.00,chr20,21082729,,,,
cg21515785,0.14,0.012,0.97,1.00,chr5,99886768,FAM174A,Body,,
cg16266268,0.14,0.012,0.97,1.00,chr19,54197067,MIR519B;MIR526B,TSS1500;TSS1500,,
cg02025827,-0.13,0.012,0.97,1.00,chr16,30996564,HSD3B7;HSD3B7;HSD3B7;HSD3B7;HSD3B7;HSD3B7,5'UTR;1stExon;1stExon;5'UTR;1stExon;5'UTR,,
cg04103021,0.16,0.012,0.97,1.00,chr4,174441703,,,,
cg08083599,-0.26,0.012,0.97,1.00,chr20,61934526,COL20A1,Body,,
cg21584627,-0.21,0.012,0.97,1.00,chr11,92649211,,,,
cg00910015,0.56,0.012,0.97,1.00,chr2,3826621,,,,
cg13473179,-0.21,0.012,0.97,1.00,chr9,15422943,SNAPC3,1stExon,,
cg14339068,0.53,0.012,0.97,1.00,chr4,6311034,,,,
cg10168086,-0.24,0.012,0.97,1.00,chr16,26499966,,,,
cg01726073,-0.24,0.012,0.97,1.00,chr22,39966085,CACNA1I;CACNA1I,TSS1500;TSS1500,,
cg25645687,0.32,0.012,0.97,1.00,chr3,138664505,FOXL2,1stExon,,
cg26002259,-0.16,0.012,0.97,1.00,chr14,36976428,SFTA3,Body,,
cg02628002,0.30,0.012,0.97,1.00,chr16,89649608,CPNE7;CPNE7,Body;Body,,
cg19740458,0.16,0.012,0.97,1.00,chr19,12848676,ASNA1,Body,,
cg01875529,-0.22,0.012,0.97,1.00,chr16,89355462,ANKRD11,Body,,
cg00223681,0.14,0.012,0.97,1.00,chr2,177024117,,,,
cg00098718,0.21,0.012,0.97,1.00,chr15,81072600,KIAA1199,5'UTR,,
cg16994941,-0.12,0.012,0.97,1.00,chr5,141218887,,,,
cg02954676,0.18,0.012,0.97,1.00,chr17,600586,VPS53;VPS53,Body;Body,,
cg22274745,-0.17,0.012,0.97,1.00,chr2,182451537,CERKL;CERKL;CERKL;CERKL;CERKL;CERKL;CERKL,Body;Body;Body;Body;Body;Body;Body,,
cg23257289,-0.25,0.012,0.97,1.00,chr12,62490552,FAM19A2,5'UTR,,
cg23990942,0.10,0.012,0.97,1.00,chr19,40946878,SERTAD3;SERTAD3,3'UTR;3'UTR,,
cg02507657,-0.19,0.012,0.97,1.00,chr2,219916480,,,,
cg14564724,-0.22,0.012,0.97,1.00,chr9,107687761,ABCA1,5'UTR,,
cg11127561,0.16,0.012,0.97,1.00,chr11,125462151,STT3A,TSS1500,,
cg18339098,-0.16,0.012,0.97,1.00,chr8,10892823,XKR6;MIR598,Body;TSS200,,
cg21109666,0.40,0.012,0.97,1.00,chr1,232007841,DISC1;DISC1;DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1;DISC1;DISC1,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,,
cg20102336,0.25,0.012,0.97,1.00,chr12,113376681,OAS3,Body,,
cg13539545,0.34,0.012,0.97,1.00,chr14,60973823,,,,
cg19727641,0.60,0.012,0.97,1.00,chr3,138067606,MRAS;MRAS;MRAS,5'UTR;5'UTR;1stExon,,
cg01466198,-0.22,0.012,0.97,1.00,chr8,131371142,ASAP1,Body,,
cg22380476,-0.25,0.012,0.97,1.00,chr3,37920130,CTDSPL;CTDSPL,Body;Body,,
cg25063189,-0.16,0.012,0.97,1.00,chr10,134347253,,,,
cg03895540,-0.28,0.012,0.97,1.00,chr11,5841482,OR52N2,TSS200,,
cg16028201,0.53,0.012,0.97,1.00,chr1,62784802,KANK4;KANK4,5'UTR;1stExon,,
cg20585676,0.18,0.012,0.97,1.00,chr2,63275039,LOC100132215,TSS200,,
cg27311397,0.35,0.012,0.97,1.00,chr13,44452398,CCDC122;C13orf31,5'UTR;TSS1500,,
cg01140783,0.19,0.012,0.97,1.00,chr6,132825654,STX7,5'UTR,,
cg12223582,0.37,0.012,0.97,1.00,chr7,75912349,SRRM3,Body,,
cg06088032,0.51,0.012,0.97,1.00,chr3,50383227,ZMYND10,TSS200,,
cg01240056,0.35,0.012,0.97,1.00,chr7,1263927,,,,
cg06927813,-0.20,0.012,0.97,1.00,chr10,29839837,SVIL;SVIL,Body;Body,,
cg21610221,-0.39,0.012,0.97,1.00,chr15,93722499,,,,
cg14140379,0.26,0.012,0.97,1.00,chr4,6695380,S100P,TSS200,,
cg01081400,-0.23,0.012,0.97,1.00,chr6,80196224,LCA5;LCA5,3'UTR;3'UTR,,
cg23936215,-0.28,0.012,0.97,1.00,chr17,63560528,,,,
cg22982368,0.26,0.012,0.97,1.00,chr11,31825969,PAX6;PAX6;PAX6,Body;Body;Body,,
cg00330492,0.39,0.012,0.97,1.00,chr15,28352558,,,,
cg08067721,0.93,0.012,0.97,1.00,chr17,44928967,WNT9B;WNT9B,5'UTR;1stExon,,
cg21177456,-0.36,0.012,0.97,1.00,chr19,519611,C19orf20,3'UTR,,
cg13215579,0.19,0.012,0.97,1.00,chr14,25900545,,,,
cg07249939,0.13,0.012,0.97,1.00,chr6,31867995,ZBTB12,Body,,
cg08827674,0.17,0.012,0.97,1.00,chr17,73522539,LLGL2;LLGL2;LLGL2,5'UTR;5'UTR;5'UTR,,
cg05470468,0.15,0.012,0.97,1.00,chr3,44620074,ZNF167,Body,,
cg15050529,0.12,0.012,0.97,1.00,chr19,12274662,ZNF136,Body,,
cg05768620,0.19,0.012,0.97,1.00,chr11,71752971,NUMA1,5'UTR,,
cg02208313,0.16,0.012,0.97,1.00,chr17,80085332,CCDC57,Body,,
cg11503711,-0.25,0.012,0.97,1.00,chr12,11463937,PRB4,TSS1500,,
cg13383332,0.32,0.012,0.97,1.00,chr8,141644455,EIF2C2;EIF2C2,Body;Body,,
cg21039878,-0.20,0.012,0.97,1.00,chr6,17866854,KIF13A;KIF13A;KIF13A;KIF13A,Body;Body;Body;Body,,
cg25478299,0.61,0.012,0.97,1.00,chr11,102638669,,,,
cg16809762,-0.23,0.012,0.97,1.00,chr16,81327958,,,,
cg03401577,0.14,0.012,0.97,1.00,chr7,158734904,WDR60,Body,,
cg01933477,-0.16,0.012,0.97,1.00,chr5,2223521,,,,
cg25770225,0.19,0.012,0.97,1.00,chr10,134774013,,,,
cg16709541,-0.15,0.012,0.97,1.00,chr19,663602,RNF126,TSS1500,,
cg14765959,0.34,0.012,0.97,1.00,chr6,106429316,,,,
cg18794121,-0.20,0.012,0.97,1.00,chr3,19033947,,,,
cg17904575,-0.17,0.012,0.97,1.00,chr14,102290370,PPP2R5C;PPP2R5C;PPP2R5C;PPP2R5C;PPP2R5C,Body;Body;Body;Body;Body,,
cg03188000,-0.24,0.012,0.97,1.00,chr12,68634913,,,,
cg10771650,-0.17,0.012,0.97,1.00,chr6,30850405,DDR1,TSS1500,,
cg15636859,0.17,0.012,0.97,1.00,chr20,55982844,RBM38;RBM38,Body;3'UTR,,
cg26313647,0.44,0.012,0.97,1.00,chr1,8085795,ERRFI1,5'UTR,,
cg13008252,-0.24,0.012,0.97,1.00,chr14,91083495,TTC7B,Body,,
cg01566260,0.32,0.012,0.97,1.00,chr1,32180356,,,,
cg24347323,-0.24,0.012,0.97,1.00,chr1,63664613,,,,
cg12630082,0.24,0.012,0.97,1.00,chr2,42275740,PKDCC,1stExon,,
cg10365312,-0.22,0.012,0.97,1.00,chr20,43744110,WFDC5,TSS1500,,
cg24049616,0.15,0.012,0.97,1.00,chr16,55359029,IRX6,1stExon,,
cg13694867,0.45,0.012,0.97,1.00,chr21,38072100,SIM2;SIM2,1stExon;1stExon,,
cg04346128,0.11,0.012,0.97,1.00,chr5,143584488,KCTD16,5'UTR,,
cg11070772,-0.18,0.012,0.97,1.00,chr22,50710489,,,,
cg08839267,0.26,0.012,0.97,1.00,chr3,132757973,TMEM108;TMEM108,5'UTR;5'UTR,,
cg12102538,-0.19,0.012,0.97,1.00,chr3,101401630,RPL24,Body,,
cg14847483,0.52,0.012,0.97,1.00,chr15,34516640,TMEM85,TSS1500,,
cg01653446,0.18,0.012,0.97,1.00,chr14,20904169,KLHL33,TSS1500,,
cg09947274,-0.16,0.012,0.97,1.00,chr2,27439915,C2orf28;C2orf28;CAD;C2orf28,3'UTR;3'UTR;TSS1500;3'UTR,,
cg26875073,0.27,0.012,0.97,1.00,chr15,25200490,SNRPN;SNRPN;SNRPN;SNRPN;SNURF;SNURF;SNRPN,5'UTR;5'UTR;5'UTR;5'UTR;Body;Body;5'UTR,,
cg17522953,-0.26,0.012,0.97,1.00,chr8,18256155,NAT2,5'UTR,,
cg02070685,0.42,0.012,0.97,1.00,chr16,84002370,NECAB2,1stExon,,
cg03143886,0.41,0.012,0.97,1.00,chr18,22006473,IMPACT,TSS200,,
cg04200485,0.18,0.012,0.97,1.00,chr11,95900374,MAML2,Body,,
cg19542707,0.14,0.012,0.97,1.00,chr10,26502142,,,,
cg01214989,0.23,0.012,0.97,1.00,chr19,58514119,ZNF606,5'UTR,,
cg10502904,0.23,0.012,0.97,1.00,chr10,131565289,MGMT,3'UTR,,
cg27036456,-0.16,0.012,0.97,1.00,chr18,55285747,NARS,Body,,
cg22332045,-0.27,0.012,0.97,1.00,chr13,114883479,RASA3,Body,,
cg15787377,0.34,0.012,0.97,1.00,chr3,52810468,ITIH1,TSS1500,,
cg22988237,0.15,0.012,0.97,1.00,chr1,155054210,EFNA3,Body,,
cg12637920,0.14,0.012,0.97,1.00,chr15,71408366,CT62,TSS1500,,
cg00990385,-0.20,0.012,0.97,1.00,chr12,113587690,CCDC42B,1stExon,,
cg06038655,0.42,0.012,0.97,1.00,chr7,130419675,KLF14,TSS1500,,
cg16530432,-0.16,0.012,0.97,1.00,chr13,27744825,USP12,Body,,
cg04709703,-0.30,0.012,0.97,1.00,chr11,61449898,DAGLA,5'UTR,,
cg05228359,-0.28,0.012,0.97,1.00,chr11,47995865,,,,
cg17417004,0.16,0.012,0.97,1.00,chr1,54819992,SSBP3;SSBP3;SSBP3,Body;Body;Body,,
cg22313024,0.20,0.012,0.97,1.00,chr8,97248069,UQCRB,TSS1500,,
cg18080906,0.25,0.012,0.97,1.00,chr10,94832106,CYP26A1,TSS1500,,
cg11191210,0.18,0.012,0.97,1.00,chr6,117585815,VGLL2;VGLL2,TSS1500;TSS1500,,
cg17940821,0.20,0.012,0.97,1.00,chr18,20140245,,,,
cg21769969,0.25,0.012,0.97,1.00,chr6,108396498,OSTM1,TSS1500,,
cg04131524,0.19,0.012,0.97,1.00,chr7,42275813,GLI3,5'UTR,,
cg21263567,0.21,0.012,0.97,1.00,chr1,204332605,,,,
cg05537316,-0.25,0.012,0.97,1.00,chr15,74706314,SEMA7A;SEMA7A;SEMA7A,Body;Body;Body,,
cg08121523,0.20,0.012,0.97,1.00,chr2,86330050,POLR1A,Body,,
cg16968475,0.19,0.012,0.97,1.00,chr7,2027283,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body,,
cg19261526,0.18,0.012,0.97,1.00,chr7,157334648,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,,
cg24995678,0.19,0.012,0.97,1.00,chr2,235936394,SH3BP4,5'UTR,,
cg17122577,-0.16,0.012,0.97,1.00,chr15,23005487,NIPA2;NIPA2;NIPA2;NIPA2,3'UTR;3'UTR;3'UTR;3'UTR,,
cg15007156,0.18,0.012,0.97,1.00,chr1,14925135,KIAA1026;KIAA1026,TSS200;TSS200,,
cg27307240,-0.18,0.012,0.97,1.00,chr14,77612082,,,,
cg13928594,0.22,0.012,0.97,1.00,chr12,110562699,IFT81;IFT81;IFT81,5'UTR;5'UTR;5'UTR,,
cg01258789,-0.17,0.012,0.97,1.00,chr1,197237257,CRB1,TSS200,,
cg24317285,0.21,0.012,0.97,1.00,chr3,157825196,SHOX2;SHOX2;SHOX2,TSS1500;TSS1500;TSS1500,,
cg26552907,0.29,0.012,0.97,1.00,chr6,30667625,MDC1,3'UTR,,
cg23055682,-0.17,0.012,0.97,1.00,chr2,27798724,C2orf16,TSS1500,,
cg07142668,0.21,0.012,0.97,1.00,chr1,32230251,BAI2,TSS1500,,
cg24663798,0.25,0.012,0.97,1.00,chr18,76639743,,,,
cg02605292,-0.24,0.012,0.97,1.00,chr17,9936785,GAS7;GAS7,Body;Body,,
cg23625458,0.15,0.012,0.97,1.00,chr1,19600141,AKR7L;AKR7L,Body;Body,,
cg18618334,0.19,0.012,0.97,1.00,chr10,44881054,CXCL12;CXCL12;CXCL12,TSS1500;TSS1500;TSS1500,,
cg26380350,0.13,0.012,0.97,1.00,chr13,113362275,ATP11A;ATP11A,Body;Body,,
cg18790438,0.19,0.012,0.97,1.00,chr6,27356690,ZNF391;ZNF391,1stExon;5'UTR,,
cg10324825,-0.33,0.012,0.97,1.00,chr1,158153227,CD1D,Body,,
cg21173447,0.24,0.012,0.97,1.00,chr21,42218964,DSCAM;DSCAM,1stExon;5'UTR,,
cg12608727,-0.16,0.012,0.97,1.00,chr1,64711033,,,,
cg01964233,-0.15,0.012,0.97,1.00,chr2,99757837,C2orf15;TSGA10;TSGA10,TSS1500;5'UTR;5'UTR,,
cg05508408,0.19,0.012,0.97,1.00,chr13,114138019,DCUN1D2,Body,,
cg10097681,0.16,0.012,0.97,1.00,chr16,88449389,,,,
cg01784825,-0.19,0.012,0.97,1.00,chr11,61377918,,,,
cg16636104,-0.31,0.012,0.97,1.00,chr7,104004514,LHFPL3,Body,,
cg01352551,-0.18,0.012,0.97,1.00,chr20,19191994,SLC24A3,TSS1500,,
cg18084046,-0.27,0.012,0.97,1.00,chr5,166430853,,,,
cg21281463,0.13,0.012,0.97,1.00,chr19,38423760,SIPA1L3,5'UTR,,
cg20681578,-0.13,0.012,0.97,1.00,chr1,244014536,,,,
cg11148677,-0.25,0.012,0.97,1.00,chr3,123876715,KALRN;KALRN;KALRN,Body;Body;Body,,
cg05717160,-0.20,0.012,0.97,1.00,chr10,105156505,USMG5;PDCD11,TSS1500;5'UTR,,
cg17599609,0.19,0.012,0.97,1.00,chr1,95285450,SLC44A3;SLC44A3,TSS1500;TSS1500,,
cg08482829,0.18,0.012,0.97,1.00,chr10,73724746,CHST3,5'UTR,,
cg20271361,-0.19,0.012,0.97,1.00,chr17,48666821,CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,,
cg25484904,0.14,0.012,0.97,1.00,chr4,48988015,CWH43,TSS1500,,
cg00460575,-0.22,0.012,0.97,1.00,chr7,2921550,,,,
cg09289459,0.20,0.012,0.97,1.00,chr14,26235384,,,,
cg03922126,0.28,0.012,0.97,1.00,chr6,73330297,KCNQ5;KCNQ5;KCNQ5;KCNQ5;KCNQ5,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,,
cg05157251,-0.27,0.012,0.97,1.00,chr18,57566460,PMAIP1,TSS1500,,
cg16381028,0.17,0.012,0.97,1.00,chr1,145589138,NUDT17,Body,,
cg04241844,-0.14,0.012,0.97,1.00,chr1,20878380,FAM43B,TSS1500,,
cg21364150,0.46,0.012,0.97,1.00,chr2,183943551,DUSP19;DUSP19;DUSP19;DUSP19,1stExon;1stExon;5'UTR;5'UTR,,
cg18499667,0.26,0.012,0.97,1.00,chr14,90526639,KCNK13,TSS1500,,
cg17903316,-0.21,0.012,0.97,1.00,chr18,44181660,LOXHD1,Body,,
cg07849302,-0.14,0.012,0.97,1.00,chr10,114709887,TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,,
cg13300580,0.13,0.012,0.97,1.00,chr1,27440539,SLC9A1,Body,,
cg06103397,0.57,0.012,0.97,1.00,chr10,77542585,C10orf11;C10orf11,1stExon;5'UTR,,
cg13660126,-0.26,0.012,0.97,1.00,chr10,709898,DIP2C;C10orf108,Body;Body,,
cg02483593,0.17,0.012,0.97,1.00,chr1,63792183,,,,
cg02994025,0.14,0.012,0.97,1.00,chr1,20902240,,,,
cg03103661,-0.18,0.012,0.97,1.00,chr11,15865375,,,,
cg19681897,-0.21,0.012,0.97,1.00,chr1,234352112,SLC35F3,Body,,
cg24754337,-0.17,0.012,0.97,1.00,chr6,134245535,,,,
cg23961842,0.22,0.012,0.97,1.00,chr6,85483800,,,,
cg08118581,-0.18,0.012,0.97,1.00,chr20,636375,,,,
cg04128307,0.31,0.012,0.97,1.00,chr16,75018930,WDR59;WDR59,5'UTR;1stExon,,
cg21625881,0.10,0.012,0.97,1.00,chr20,57430313,GNAS;GNAS;GNAS,1stExon;1stExon;3'UTR,,
cg08032088,0.12,0.012,0.97,1.00,chr1,22974053,C1QC;C1QC,Body;Body,,
cg19030607,0.16,0.012,0.97,1.00,chr22,48885506,FAM19A5,1stExon,,
cg18111119,0.12,0.012,0.97,1.00,chr8,143531582,,,,
cg00091285,0.45,0.012,0.97,1.00,chr1,98511031,,,,
cg13560871,0.28,0.012,0.97,1.00,chr1,220863766,C1orf115,1stExon,,
cg20414505,-0.22,0.012,0.97,1.00,chr1,6061279,,,,
cg19315466,-0.23,0.012,0.97,1.00,chr1,245832545,KIF26B,Body,,
cg20981791,0.12,0.012,0.97,1.00,chr8,23151069,R3HCC1,Body,,
cg21233057,-0.22,0.013,0.97,1.00,chr9,84198747,TLE1,3'UTR,,
cg09720833,0.22,0.013,0.97,1.00,chr4,124427045,,,,
cg26234081,0.16,0.013,0.97,1.00,chr7,148498614,,,,
cg19570154,-0.26,0.013,0.97,1.00,chr2,5513337,,,,
cg11754206,0.16,0.013,0.97,1.00,chr8,73448579,KCNB2,TSS1500,,
cg15454726,0.44,0.013,0.97,1.00,chr1,241587609,,,,
cg00831222,0.30,0.013,0.97,1.00,chr10,134893675,,,,
cg25022311,-0.28,0.013,0.97,1.00,chr11,113342307,DRD2;DRD2,5'UTR;5'UTR,,
cg17741689,0.39,0.013,0.97,1.00,chr1,4714574,AJAP1;AJAP1,TSS1500;TSS1500,,
cg06522206,-0.22,0.013,0.97,1.00,chr12,117651299,NOS1,3'UTR,,
cg04890480,0.17,0.013,0.97,1.00,chr1,181073734,,,,
cg10252516,0.17,0.013,0.97,1.00,chr19,56671462,ZNF444,Body,,
cg18618936,-0.28,0.013,0.97,1.00,chr12,122255346,SETD1B,Body,,
cg14473646,-0.21,0.013,0.97,1.00,chr5,65242494,ERBB2IP;ERBB2IP;LOC100303749,5'UTR;5'UTR;TSS1500,,
cg23576358,0.39,0.013,0.97,1.00,chr4,6675513,LOC93622,TSS1500,,
cg22754176,0.22,0.013,0.97,1.00,chr5,95066806,RHOBTB3,TSS200,,
cg19540533,0.16,0.013,0.97,1.00,chr4,189048567,,,,
cg10740660,0.10,0.013,0.97,1.00,chr6,31740849,C6orf27,Body,,
cg16971128,-0.21,0.013,0.97,1.00,chr22,37499859,TMPRSS6,TSS200,,
cg11782208,-0.23,0.013,0.97,1.00,chr1,917892,C1orf170,TSS1500,,
cg13752828,0.22,0.013,0.97,1.00,chr17,46816630,,,,
cg18442992,-0.21,0.013,0.97,1.00,chr13,24614176,,,,
cg12547959,-0.23,0.013,0.97,1.00,chr5,14326153,TRIO,Body,,
cg17429457,0.20,0.013,0.97,1.00,chr12,109534470,UNG,TSS1500,,
cg17738521,-0.31,0.013,0.97,1.00,chr6,143224179,HIVEP2,5'UTR,,
cg10547927,0.15,0.013,0.97,1.00,chr14,50999548,MAP4K5;ATL1;MAP4K5,TSS200;TSS1500;TSS200,,
cg01124539,0.16,0.013,0.97,1.00,chr9,132312108,,,,
cg05769153,0.34,0.013,0.97,1.00,chr19,53636398,ZNF415;ZNF415;ZNF415;ZNF415,TSS1500;TSS1500;TSS1500;TSS1500,,
cg01523600,-0.17,0.013,0.97,1.00,chr8,22959713,TNFRSF10C,TSS1500,,
cg21943268,-0.13,0.013,0.97,1.00,chr1,40418380,,,,
cg16903060,-0.22,0.013,0.97,1.00,chr1,24621673,,,,
cg24007644,0.18,0.013,0.97,1.00,chr3,57095961,ARHGEF3;SPATA12,5'UTR;5'UTR,,
cg05578452,-0.18,0.013,0.97,1.00,chr5,179255653,SQSTM1;SQSTM1;SQSTM1,Body;Body;Body,,
cg01164334,0.20,0.013,0.97,1.00,chr12,126926867,LOC100128554,TSS200,,
cg05309948,0.45,0.013,0.97,1.00,chr11,2292447,ASCL2,TSS1500,,
cg14615336,0.22,0.013,0.97,1.00,chr1,50489567,AGBL4;AGBL4,1stExon;5'UTR,,
cg11146081,0.20,0.013,0.97,1.00,chr14,75514134,MLH3;MLH3,Body;Body,,
cg19278235,-0.16,0.013,0.97,1.00,chr2,4703876,,,,
cg19874726,0.21,0.013,0.97,1.00,chr14,61114476,SIX1,Body,,
cg15392413,-0.17,0.013,0.97,1.00,chr12,78603664,NAV3,Body,,
cg05834477,0.25,0.013,0.97,1.00,chr10,50887049,C10orf53;C10orf53,TSS1500;TSS1500,,
cg15475101,0.13,0.013,0.97,1.00,chr12,112622479,C12orf51,Body,,
cg19691177,0.12,0.013,0.97,1.00,chr11,442955,ANO9,TSS1500,,
cg10811426,-0.16,0.013,0.97,1.00,chr1,234667461,,,,
cg08700546,-0.13,0.013,0.97,1.00,chr11,47436675,SLC39A13;SLC39A13,Body;Body,,
cg02095946,-0.24,0.013,0.97,1.00,chr8,1397913,,,,
cg20741293,0.15,0.013,0.97,1.00,chr9,34958139,KIAA1045,TSS200,,
cg25388527,-0.23,0.013,0.97,1.00,chr18,43684054,ATP5A1;HAUS1;HAUS1,5'UTR;TSS1500;TSS1500,,
cg06824242,0.18,0.013,0.97,1.00,chr15,38746275,FAM98B;FAM98B,TSS200;TSS200,,
cg01170694,-0.17,0.013,0.97,1.00,chr5,72431891,,,,
cg10074544,0.22,0.013,0.97,1.00,chr4,110223700,COL25A1;COL25A1;COL25A1;COL25A1,1stExon;5'UTR;5'UTR;1stExon,,
cg14710465,0.13,0.013,0.97,1.00,chr1,160369869,VANGL2,TSS1500,,
cg24884519,0.38,0.013,0.97,1.00,chr7,27209790,MIR196B,TSS1500,,
cg13754720,0.24,0.013,0.97,1.00,chr9,98274853,PTCH1;PTCH1,Body;Body,,
cg02610600,0.16,0.013,0.97,1.00,chr7,73118632,STX1A;STX1A,Body;Body,,
cg04972745,0.45,0.013,0.97,1.00,chr10,101287846,,,,
cg07891069,-0.20,0.013,0.97,1.00,chr4,3413706,RGS12;RGS12;RGS12,Body;Body;Body,,
cg02088422,-0.21,0.013,0.97,1.00,chr5,130970812,RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6;RAPGEF6,5'UTR;1stExon;1stExon;1stExon;5'UTR;1stExon;5'UTR;5'UTR;1stExon;1stExon;5'UTR;5'UTR,,
cg15170557,0.20,0.013,0.97,1.00,chr7,28214983,JAZF1,Body,,
cg18421840,-0.18,0.013,0.97,1.00,chr7,31099814,ADCYAP1R1,5'UTR,,
cg14482998,0.24,0.013,0.97,1.00,chr6,111984370,FYN;FYN;FYN,Body;Body;Body,,
cg00400452,-0.35,0.013,0.97,1.00,chr6,1524003,,,,
cg02494582,-0.23,0.013,0.97,1.00,chr10,128061835,ADAM12;ADAM12,Body;Body,,
cg26746560,-0.23,0.013,0.97,1.00,chr22,31535672,PLA2G3,Body,,
cg19118519,-0.24,0.013,0.97,1.00,chr13,29192851,,,,
cg19910654,0.28,0.013,0.97,1.00,chr4,169787123,PALLD;PALLD;PALLD;PALLD,5'UTR;Body;Body;Body,,
cg08374859,-0.15,0.013,0.97,1.00,chr8,49891730,,,,
cg17802464,-0.18,0.013,0.97,1.00,chr22,30868156,SEC14L3,TSS200,,
cg08527226,0.12,0.013,0.97,1.00,chr19,36191758,,,,
cg06276663,-0.15,0.013,0.97,1.00,chr10,105579899,SH3PXD2A,Body,,
cg15110800,-0.19,0.013,0.97,1.00,chr1,34352660,CSMD2,Body,,
cg01381678,0.31,0.013,0.97,1.00,chr2,197458093,HECW2,TSS1500,,
cg13904806,-0.54,0.013,0.97,1.00,chr1,874697,SAMD11,Body,,
cg24018520,0.21,0.013,0.97,1.00,chr4,175133103,,,,
cg16390944,-0.18,0.013,0.97,1.00,chr1,54873359,SSBP3;SSBP3;SSBP3,TSS1500;TSS1500;TSS1500,,
cg12947103,-0.17,0.013,0.97,1.00,chr5,68392786,SLC30A5;SLC30A5,Body;Body,,
cg03511333,-0.16,0.013,0.97,1.00,chr12,56367210,RAB5B,TSS1500,,
cg21517947,0.38,0.013,0.97,1.00,chr8,41167107,SFRP1,TSS200,,
cg04490478,0.15,0.013,0.97,1.00,chr11,118957635,HMBS;HMBS,TSS1500;Body,,
cg15713389,-0.25,0.013,0.97,1.00,chr5,5568588,,,,
cg14400498,0.36,0.013,0.97,1.00,chr14,85999933,FLRT2,5'UTR,,
cg13507658,0.19,0.013,0.97,1.00,chr19,1546206,,,,
cg09976774,0.13,0.013,0.97,1.00,chr12,2986037,FOXM1;FOXM1;C12orf32;C12orf32;FOXM1;C12orf32,5'UTR;5'UTR;TSS1500;TSS1500;5'UTR;TSS1500,,
cg12928173,-0.18,0.013,0.97,1.00,chr5,134920571,,,,
cg03685886,0.29,0.013,0.97,1.00,chr16,86912525,,,,
cg18441959,-0.17,0.013,0.97,1.00,chr22,22599332,VPREB1,Body,,
cg15551981,-0.26,0.013,0.97,1.00,chr8,28552181,,,,
cg02519681,0.27,0.013,0.97,1.00,chr3,69435095,FRMD4B,1stExon,,
cg26108976,0.18,0.013,0.97,1.00,chr14,70082429,KIAA0247,5'UTR,,
cg18210226,0.49,0.013,0.97,1.00,chr6,123317714,CLVS2;CLVS2,5'UTR;1stExon,,
cg00188746,0.35,0.013,0.97,1.00,chr1,15480258,TMEM51;TMEM51;TMEM51;TMEM51;TMEM51;TMEM51;C1orf126,1stExon;5'UTR;1stExon;5'UTR;5'UTR;5'UTR;TSS1500,,
