"Excel Table 7: Differentially variable positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg17340779,-0.13,0.013,1.000,1.00,chr3,9032324,SRGAP3;SRGAP3,Body;Body
cg25219329,0.14,0.013,1.000,1.00,chr22,42679444,,
cg10499493,0.12,0.013,1.000,1.00,chr2,101624132,RPL31;TBC1D8,Body;3'UTR
cg05457373,0.08,0.013,1.000,1.00,chr15,67000902,SMAD6;SMAD6;SMAD6,Body;Body;TSS200
cg00845883,0.13,0.013,1.000,1.00,chr11,69923693,ANO1,TSS1500
cg22128431,0.11,0.013,1.000,1.00,chr20,37434409,PPP1R16B;PPP1R16B,1stExon;5'UTR
cg14067657,-0.15,0.013,1.000,1.00,chr20,56248127,PMEPA1;PMEPA1;PMEPA1;PMEPA1,5'UTR;5'UTR;Body;Body
cg20563498,0.14,0.013,1.000,1.00,chr11,77910743,USP35,Body
cg17027046,-0.09,0.013,1.000,1.00,chr20,3190012,ITPA;ITPA,TSS200;TSS200
cg03412946,0.13,0.013,1.000,1.00,chr2,38029124,,
cg17462074,0.19,0.013,1.000,1.00,chr12,14133168,GRIN2B,TSS200
cg04267772,0.11,0.013,1.000,1.00,chr16,8963642,CARHSP1;CARHSP1,TSS1500;TSS1500
cg00293936,-0.12,0.013,1.000,1.00,chr2,25391505,POMC;POMC;POMC;POMC,5'UTR;1stExon;5'UTR;1stExon
cg07997195,0.16,0.013,1.000,1.00,chr17,18811570,PRPSAP2,Body
cg11558972,0.13,0.013,1.000,1.00,chr7,156743467,NOM1,Body
cg03415518,0.11,0.013,1.000,1.00,chr12,97885729,RMST;MIR1251,Body;Body
cg02859421,0.14,0.013,1.000,1.00,chr19,3465071,,
cg02484343,0.26,0.013,1.000,1.00,chr16,2284734,E4F1,Body
cg00076936,-0.11,0.013,1.000,1.00,chr20,35503983,C20orf118,TSS1500
cg26749306,-0.10,0.013,1.000,1.00,chr17,81043782,METRNL,Body
cg08780063,0.13,0.013,1.000,1.00,chr17,57075877,TRIM37;TRIM37,3'UTR;Body
cg16457842,0.12,0.013,1.000,1.00,chr6,84417445,SNAP91;SNAP91,Body;Body
cg02810291,0.22,0.013,1.000,1.00,chr15,85973746,AKAP13;AKAP13,5'UTR;5'UTR
cg16374126,0.13,0.013,1.000,1.00,chr3,128369750,RPN1,TSS200
cg10059660,-0.24,0.013,1.000,1.00,chr4,44450234,KCTD8,1stExon
cg08015590,-0.30,0.013,1.000,1.00,chr7,2281924,NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;FTSJ2;NUDT1;NUDT1;NUDT1,5'UTR;5'UTR;1stExon;TSS1500;5'UTR;5'UTR;TSS200;1stExon;5'UTR;TSS1500
cg18092977,0.11,0.013,1.000,1.00,chr14,101190167,,
cg00970544,-0.11,0.013,1.000,1.00,chr19,17445782,ANO8,TSS200
cg01420254,0.32,0.013,1.000,1.00,chr6,26195488,,
cg11787367,0.18,0.013,1.000,1.00,chr19,38865418,PSMD8,1stExon
cg19292712,0.15,0.013,1.000,1.00,chr7,123564194,SPAM1;SPAM1,TSS1500;TSS1500
cg19402173,0.26,0.013,1.000,1.00,chr7,128379420,CALU;CALU;CALU;CALU,1stExon;5'UTR;1stExon;5'UTR
cg05213296,-0.52,0.013,1.000,1.00,chr6,111302729,RPF2,TSS1500
cg23630954,-0.22,0.013,1.000,1.00,chr1,246954130,LOC149134,Body
cg16256643,0.14,0.013,1.000,1.00,chr19,14683110,NDUFB7,TSS1500
cg10566703,-0.35,0.013,1.000,1.00,chr5,19989519,CDH18;CDH18,TSS1500;TSS1500
cg00492957,0.07,0.013,1.000,1.00,chr16,980633,LMF1,Body
cg25418007,0.08,0.013,1.000,1.00,chr5,43066538,,
cg16373966,-0.11,0.013,1.000,1.00,chr5,139422231,NRG2;NRG2;NRG2;NRG2,1stExon;1stExon;1stExon;1stExon
cg02116794,0.13,0.013,1.000,1.00,chr10,32341127,KIF5B,Body
cg07798593,0.07,0.013,1.000,1.00,chr10,80890238,ZMIZ1,5'UTR
cg26948536,-0.12,0.013,1.000,1.00,chr2,175584419,,
cg13847120,-0.17,0.013,1.000,1.00,chr17,43224789,HEXIM1;HEXIM1,1stExon;5'UTR
cg01604601,0.20,0.013,1.000,1.00,chr2,69846936,AAK1,Body
cg16415604,0.12,0.013,1.000,1.00,chr1,155214575,GBA;GBA;GBA;GBA,TSS200;TSS200;TSS200;TSS200
cg09158990,-0.21,0.013,1.000,1.00,chr12,49372112,WNT1,TSS200
cg02128112,0.09,0.013,1.000,1.00,chr16,48844757,,
cg18725348,-0.13,0.013,1.000,1.00,chr12,131493258,GPR133,Body
cg16565002,0.17,0.013,1.000,1.00,chr3,29507737,RBMS3;RBMS3;RBMS3,Body;Body;Body
cg07507493,-0.13,0.013,1.000,1.00,chr20,62574095,UCKL1;MIR1914;MIR647,Body;TSS1500;TSS200
cg15088646,0.17,0.013,1.000,1.00,chr10,37940587,,
cg04678623,0.23,0.013,1.000,1.00,chr5,174862224,,
cg21056036,0.08,0.013,1.000,1.00,chr13,19755954,TUBA3C,TSS200
cg26429068,0.12,0.013,1.000,1.00,chr5,134074985,CAMLG,Body
cg02724909,0.14,0.013,1.000,1.00,chr5,149625104,CAMK2A;CAMK2A,Body;Body
cg00776601,0.15,0.013,1.000,1.00,chr1,51442861,,
cg05170326,-0.08,0.013,1.000,1.00,chr12,7125723,LPCAT3,1stExon
cg27267436,0.14,0.013,1.000,1.00,chr19,3754012,APBA3,Body
cg10466932,0.13,0.013,1.000,1.00,chr16,12956237,,
cg17404981,0.11,0.013,1.000,1.00,chr4,1240264,CTBP1;CTBP1,Body;5'UTR
cg08204159,-0.09,0.013,1.000,1.00,chr19,54642290,CNOT3,5'UTR
cg06272230,0.16,0.013,1.000,1.00,chr16,53165410,CHD9,5'UTR
cg26193372,-0.11,0.013,1.000,1.00,chr2,85154136,,
cg15323084,0.13,0.013,1.000,1.00,chr1,1556707,MIB2;MIB2;MIB2;MIB2;MIB2;MIB2,Body;Body;Body;5'UTR;Body;Body
cg12356870,-0.09,0.013,1.000,1.00,chr10,134555231,INPP5A,Body
cg25307724,0.07,0.013,1.000,1.00,chr13,113719172,MCF2L;MCF2L,Body;Body
cg26840726,0.11,0.013,1.000,1.00,chr18,47018253,SNORD58A;RPL17;SNORD58B;RPL17,TSS1500;5'UTR;TSS200;5'UTR
cg06109529,0.09,0.013,1.000,1.00,chr3,134205091,CEP63;ANAPC13;CEP63;ANAPC13;CEP63;CEP63;ANAPC13;CEP63,5'UTR;TSS1500;5'UTR;TSS1500;5'UTR;5'UTR;TSS1500;1stExon
cg27033919,0.12,0.013,1.000,1.00,chr11,62622173,SNORD30;SNORD29;SLC3A2;SLC3A2;SNORD31;SNORD28;SLC3A2;SLC3A2;SNHG1;SLC3A2,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS1500;TSS1500;Body;TSS1500
cg17598785,0.13,0.013,1.000,1.00,chr10,61112628,FAM13C;FAM13C;FAM13C;FAM13C,Body;5'UTR;5'UTR;Body
cg13581036,-0.13,0.013,1.000,1.00,chr2,197578925,CCDC150,Body
cg22928016,0.22,0.013,1.000,1.00,chr10,83636249,NRG3;NRG3;NRG3,Body;Body;TSS1500
cg00052290,0.12,0.013,1.000,1.00,chr10,89578072,ATAD1;CFLP1,TSS200;Body
cg15794947,0.07,0.013,1.000,1.00,chr6,144736956,UTRN,Body
cg26138978,0.18,0.013,1.000,1.00,chr13,107183092,EFNB2,Body
cg22230387,0.09,0.013,1.000,1.00,chr11,6232209,C11orf42,Body
cg03200052,0.14,0.013,1.000,1.00,chr1,223538627,SUSD4;SUSD4,TSS1500;TSS1500
cg06388730,0.11,0.013,1.000,1.00,chr7,35297699,,
cg06785720,-0.15,0.013,1.000,1.00,chr16,89109464,,
cg15483030,-0.07,0.013,1.000,1.00,chr1,5935144,NPHP4,Body
cg19255634,0.14,0.013,1.000,1.00,chr2,240082335,HDAC4,Body
cg24124145,0.09,0.013,1.000,1.00,chr4,139936112,CCRN4L,TSS1500
cg04531010,-0.09,0.013,1.000,1.00,chr6,64390047,PHF3,Body
cg17698295,-0.07,0.013,1.000,1.00,chr8,145106299,OPLAH,Body
cg22826239,-0.10,0.013,1.000,1.00,chr7,23510123,IGF2BP3,TSS200
cg00060374,0.33,0.013,1.000,1.00,chr1,1355235,LOC441869;LOC441869,Body;Body
cg19773385,0.19,0.013,1.000,1.00,chr1,10388646,KIF1B,Body
cg02337283,-0.11,0.013,1.000,1.00,chr19,10599976,KEAP1;KEAP1,Body;Body
cg14864853,0.10,0.013,1.000,1.00,chr5,63801847,RGS7BP,TSS1500
cg21415450,0.12,0.013,1.000,1.00,chr8,41170468,,
cg12496355,0.10,0.013,1.000,1.00,chr11,126870773,KIRREL3;KIRREL3,TSS200;TSS200
cg17679470,0.14,0.013,1.000,1.00,chr4,189602161,,
cg03173367,-0.11,0.013,1.000,1.00,chr2,97524995,ANKRD39,TSS1500
cg01565028,0.14,0.013,1.000,1.00,chr19,48898052,GRIN2D,TSS200
cg00815832,0.27,0.013,1.000,1.00,chr1,228658973,,
cg14017611,0.09,0.013,1.000,1.00,chr11,65734751,SART1,Body
cg26391832,-0.15,0.013,1.000,1.00,chr2,45237929,SIX2,TSS1500
cg12935818,-0.18,0.013,1.000,1.00,chr2,238499802,RAB17,TSS200
cg05904283,-0.10,0.013,1.000,1.00,chr16,716021,WDR90,Body
cg02576528,-0.16,0.013,1.000,1.00,chr10,131845025,,
cg10376053,0.13,0.013,1.000,1.00,chr6,33282867,ZBTB22;TAPBP;TAPBP;TAPBP;ZBTB22,Body;TSS1500;TSS1500;TSS1500;Body
cg22170602,0.10,0.013,1.000,1.00,chr1,193091041,CDC73,TSS200
cg02930348,0.16,0.013,1.000,1.00,chr20,59968939,CDH4,Body
cg27287456,0.17,0.013,1.000,1.00,chr16,73369306,,
cg05667256,0.15,0.013,1.000,1.00,chr18,13915583,MC2R,TSS200
cg00256485,-0.09,0.013,1.000,1.00,chr5,1494980,LPCAT1,Body
cg02937671,0.30,0.013,1.000,1.00,chr4,2366485,ZFYVE28,Body
cg10178082,0.10,0.013,1.000,1.00,chr17,80839243,TBCD,Body
cg16345647,0.12,0.013,1.000,1.00,chr21,38378406,DSCR6,TSS1500
cg24374738,0.36,0.013,1.000,1.00,chr2,219858146,CRYBA2;CRYBA2;CRYBA2,TSS200;TSS200;TSS200
cg24194775,0.16,0.013,1.000,1.00,chr9,35791475,NPR2,TSS1500
cg18092665,0.11,0.013,1.000,1.00,chr7,80732349,,
cg19699815,0.14,0.013,1.000,1.00,chr12,10086353,CLEC2A,TSS1500
cg15103426,-0.10,0.013,1.000,1.00,chr22,29168792,CCDC117;CCDC117,1stExon;5'UTR
cg22678708,0.12,0.013,1.000,1.00,chr4,142054743,RNF150,TSS200
cg03518058,0.13,0.013,1.000,1.00,chr3,124606583,ITGB5,TSS1500
cg13575058,0.26,0.013,1.000,1.00,chr2,198380465,MOBKL3;MOBKL3;MOBKL3,5'UTR;TSS1500;TSS1500
cg25673584,0.30,0.013,1.000,1.00,chr19,46417551,NANOS2,1stExon
cg14381040,-0.10,0.013,1.000,1.00,chr6,25733243,,
cg06126225,0.11,0.013,1.000,1.00,chr12,128318160,,
cg01709543,0.09,0.013,1.000,1.00,chr7,98592411,TRRAP,Body
cg21402096,0.18,0.013,1.000,1.00,chr1,221990385,,
cg03722908,-0.11,0.013,1.000,1.00,chr6,164758166,,
cg22425096,-0.12,0.013,1.000,1.00,chr7,100417404,EPHB4,Body
cg00610844,0.12,0.013,1.000,1.00,chr5,6583797,LOC255167;LOC255167,Body;Body
cg02853524,0.23,0.013,1.000,1.00,chr3,145768808,,
cg09561739,-0.12,0.013,1.000,1.00,chr4,47916869,NFXL1,TSS1500
cg10778655,0.15,0.013,1.000,1.00,chr6,33679642,C6orf125,TSS200
cg13592064,0.12,0.013,1.000,1.00,chr6,100915634,,
cg18821098,-0.11,0.013,1.000,1.00,chr14,91766170,CCDC88C,Body
cg25565000,-0.11,0.013,1.000,1.00,chr10,70289077,SLC25A16,TSS1500
cg11052983,0.09,0.013,1.000,1.00,chr10,134473574,INPP5A,Body
cg14519598,0.11,0.013,1.000,1.00,chr9,36906608,PAX5,Body
cg14640509,0.21,0.013,1.000,1.00,chr2,43823708,THADA;THADA,TSS1500;TSS1500
cg01810329,0.20,0.013,1.000,1.00,chr16,89234490,,
cg15139304,-0.13,0.013,1.000,1.00,chr1,246958927,,
cg10522607,0.18,0.013,1.000,1.00,chr2,1595933,,
cg18017627,0.11,0.013,1.000,1.00,chr6,52268072,PAQR8,Body
cg25738350,0.14,0.013,1.000,1.00,chr11,66230700,,
cg19536929,0.08,0.013,1.000,1.00,chr12,115134594,,
cg11166106,-0.30,0.013,1.000,1.00,chr2,219861012,,
cg25279553,-0.19,0.013,1.000,1.00,chr19,10444815,RAVER1;ICAM3,TSS1500;Body
cg18418807,0.11,0.013,1.000,1.00,chr13,60738490,DIAPH3,TSS1500
cg13634994,-0.13,0.013,1.000,1.00,chr9,129452574,LMX1B,Body
cg19502972,-0.13,0.013,1.000,1.00,chr1,12040413,MFN2;MFN2;MFN2;MFN2,1stExon;5'UTR;1stExon;5'UTR
cg12457683,-0.09,0.013,1.000,1.00,chr2,221393426,,
cg27309920,0.12,0.013,1.000,1.00,chr12,6798957,ZNF384;ZNF384;ZNF384;ZNF384;ZNF384;ZNF384;ZNF384,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg20111980,0.15,0.013,1.000,1.00,chr4,6676796,LOC93622,Body
cg26118142,0.11,0.013,1.000,1.00,chr17,3289363,,
cg01349775,0.13,0.013,1.000,1.00,chr6,166666838,,
cg04232674,0.07,0.013,1.000,1.00,chr1,150601743,ENSA;ENSA;ENSA;ENSA;ENSA;ENSA;ENSA;ENSA,Body;TSS200;Body;TSS200;Body;TSS200;Body;Body
cg07297467,0.17,0.013,1.000,1.00,chr2,101635691,RPL31;TBC1D8,3'UTR;Body
cg02937491,0.09,0.013,1.000,1.00,chr18,55888790,NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L,5'UTR;Body;5'UTR;5'UTR;5'UTR;Body;1stExon;Body;Body;5'UTR
cg12929625,0.11,0.013,1.000,1.00,chr2,55746547,CCDC104,TSS200
cg01527394,-0.07,0.013,1.000,1.00,chr22,47368387,TBC1D22A,Body
cg08057037,-0.18,0.013,1.000,1.00,chr11,865673,TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4,Body;Body;Body;Body;Body;Body;Body
cg08762432,-0.12,0.013,1.000,1.00,chr10,21358991,NEBL,Body
cg02757432,0.11,0.013,1.000,1.00,chr10,125426048,GPR26,1stExon
cg25147139,-0.07,0.013,1.000,1.00,chr12,49740718,DNAJC22,TSS1500
cg17296588,0.23,0.013,1.000,1.00,chr11,35965104,LDLRAD3,TSS1500
cg03114057,0.11,0.013,1.000,1.00,chr17,72362302,GPR142,TSS1500
cg02186298,-0.12,0.013,1.000,1.00,chr11,65101602,DPF2,Body
cg17895870,0.16,0.013,1.000,1.00,chr19,16254474,HSH2D,5'UTR
cg18359782,0.09,0.013,1.000,1.00,chr7,101838829,CUX1;CUX1;CUX1,Body;Body;Body
cg03266059,-0.40,0.013,1.000,1.00,chr19,57922374,ZNF17,TSS200
cg16106254,0.12,0.013,1.000,1.00,chr12,105664124,,
cg27469719,-0.18,0.013,1.000,1.00,chr7,73134089,STX1A;STX1A,TSS200;TSS200
cg08871189,0.12,0.013,1.000,1.00,chr11,36311119,COMMD9;COMMD9,TSS200;TSS200
cg04268405,-0.11,0.013,1.000,1.00,chr10,73723221,CHST3,TSS1500
cg23270617,0.13,0.013,1.000,1.00,chr7,90032717,CLDN12,TSS200
cg24719138,0.14,0.013,1.000,1.00,chr15,24921412,C15orf2,1stExon
cg18634981,0.08,0.013,1.000,1.00,chr12,34478161,,
cg10157208,-0.13,0.013,1.000,1.00,chr19,13112449,NFIX,Body
cg17368581,0.25,0.013,1.000,1.00,chr5,72512191,,
cg11278857,-0.13,0.013,1.000,1.00,chr10,101492618,COX15;COX15;CUTC,TSS200;TSS200;Body
cg06955919,0.14,0.013,1.000,1.00,chr8,110551796,EBAG9;EBAG9,TSS1500;TSS200
cg03548062,0.19,0.013,1.000,1.00,chr14,101158251,,
cg26738437,0.09,0.013,1.000,1.00,chr17,34308465,CCL16;CCL16,1stExon;5'UTR
cg02130107,-0.10,0.013,1.000,1.00,chr16,29828598,C16orf53,Body
cg00935887,-0.30,0.013,1.000,1.00,chr2,242844000,,
cg19286500,0.14,0.013,1.000,1.00,chr7,29652942,,
cg17170948,0.10,0.013,1.000,1.00,chr1,59281383,,
cg12222752,-0.12,0.013,1.000,1.00,chr1,2339587,PEX10;PEX10,Body;Body
cg17830921,-0.14,0.013,1.000,1.00,chr1,224044382,,
cg01315092,-0.15,0.013,1.000,1.00,chr2,120980375,TMEM185B,Body
cg08439930,-0.10,0.013,1.000,1.00,chr16,51185060,SALL1;SALL1,TSS1500;Body
cg06764152,0.28,0.013,1.000,1.00,chr6,15482789,JARID2,Body
cg23278885,0.13,0.013,1.000,1.00,chr20,2361431,TGM6,TSS200
cg02476744,-0.11,0.013,1.000,1.00,chr12,66218656,HMGA2;HMGA2;RPSAP52;HMGA2;HMGA2,1stExon;5'UTR;Body;1stExon;5'UTR
cg12032885,0.13,0.013,1.000,1.00,chr19,57352542,PEG3;PEG3;ZIM2;ZIM2;PEG3;ZIM2;MIMT1;PEG3,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;Body;TSS1500
cg18708412,0.12,0.013,1.000,1.00,chr22,19118170,DGCR14;TSSK2,3'UTR;TSS200
cg07704580,-0.10,0.013,1.000,1.00,chr17,31324803,SPACA3,3'UTR
cg12559685,-0.17,0.013,1.000,1.00,chr17,40839469,CNTNAP1,Body
cg03384959,0.33,0.013,1.000,1.00,chr2,238305427,COL6A3;COL6A3;COL6A3;COL6A3;COL6A3,Body;Body;Body;Body;Body
cg15752698,-0.19,0.013,1.000,1.00,chr7,35295588,,
cg06969118,0.15,0.013,1.000,1.00,chr2,37374960,EIF2AK2;EIF2AK2;EIF2AK2;EIF2AK2,5'UTR;5'UTR;5'UTR;1stExon
cg18658230,0.11,0.013,1.000,1.00,chr2,1887399,MYT1L,Body
cg21234812,0.10,0.013,1.000,1.00,chr17,46985508,UBE2Z,TSS1500
cg11387751,-0.08,0.013,1.000,1.00,chr1,85100313,C1orf180,Body
cg09837748,0.19,0.013,1.000,1.00,chr14,31028383,G2E3;G2E3,1stExon;5'UTR
cg19519630,-0.16,0.013,1.000,1.00,chr1,3617886,TP73;TP73;TP73;TP73,Body;Body;Body;Body
cg20411935,0.16,0.013,1.000,1.00,chr1,228653095,,
cg26909817,-0.18,0.013,1.000,1.00,chr16,53218077,CHD9,Body
cg15598754,-0.14,0.013,1.000,1.00,chr1,21551903,ECE1;ECE1;ECE1;ECE1,Body;Body;Body;Body
cg20283716,-0.09,0.013,1.000,1.00,chr17,79963039,ASPSCR1,Body
cg10310846,-0.11,0.013,1.000,1.00,chr10,28821381,WAC;WAC;WAC,TSS1500;TSS1500;TSS200
cg00356723,0.20,0.013,1.000,1.00,chr11,63705697,NAA40,TSS1500
cg25493658,0.08,0.013,1.000,1.00,chr12,51421225,SLC11A2,TSS1500
cg20641289,0.14,0.013,1.000,1.00,chr17,33894952,,
cg10567498,0.13,0.013,1.000,1.00,chr6,41020537,APOBEC2,TSS1500
cg10077672,0.12,0.013,1.000,1.00,chr22,42063028,,
cg01067010,0.10,0.013,1.000,1.00,chr11,132115847,NTM;NTM;NTM;NTM,Body;Body;Body;Body
cg23257386,0.61,0.013,1.000,1.00,chr3,135912607,MSL2;MSL2,5'UTR;Body
cg23197473,0.20,0.013,1.000,1.00,chr20,61747863,,
cg16367518,0.17,0.013,1.000,1.00,chr6,30455807,HLA-E,TSS1500
cg24465685,-0.34,0.013,1.000,1.00,chr1,47009809,,
cg14293575,-0.18,0.013,1.000,1.00,chr22,18635460,USP18,5'UTR
cg02886549,0.15,0.013,1.000,1.00,chr8,37655023,GPR124,1stExon
cg14786686,0.11,0.013,1.000,1.00,chr10,1713335,ADARB2,Body
cg17302850,-0.14,0.013,1.000,1.00,chr3,10358800,SEC13;SEC13;SEC13;SEC13,Body;Body;Body;Body
cg00508855,0.08,0.013,1.000,1.00,chr5,179287084,C5orf45;C5orf45,TSS1500;TSS1500
cg20490126,-0.18,0.013,1.000,1.00,chr1,25870007,LDLRAP1,TSS200
cg08264859,0.12,0.013,1.000,1.00,chr19,46174565,GIPR,Body
cg00661732,0.18,0.013,1.000,1.00,chr3,61860646,PTPRG,Body
cg08545312,0.18,0.013,1.000,1.00,chr3,172096023,FNDC3B;FNDC3B,Body;Body
cg05226019,0.11,0.013,1.000,1.00,chr1,224370586,DEGS1;DEGS1,TSS1500;TSS1500
cg09611599,0.32,0.013,1.000,1.00,chr11,20382497,,
cg06954855,0.11,0.013,1.000,1.00,chr1,159801570,SLAMF8,Body
cg12764314,0.11,0.013,1.000,1.00,chr1,184654165,,
cg14652056,-0.22,0.013,1.000,1.00,chr6,29760688,HCG4,Body
cg15956794,-0.10,0.013,1.000,1.00,chr5,112312232,DCP2,TSS200
cg20445402,0.10,0.013,1.000,1.00,chr13,110432220,IRS2,Body
cg10398905,-0.31,0.013,1.000,1.00,chr2,97406466,LMAN2L;LMAN2L;LMAN2L;LMAN2L;LMAN2L;LMAN2L,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg05088257,0.13,0.013,1.000,1.00,chr11,122621046,UBASH3B,Body
cg18820209,0.23,0.013,1.000,1.00,chr18,72124685,FAM69C,TSS200
cg04467208,-0.11,0.013,1.000,1.00,chr22,41865075,ACO2;PHF5A,TSS200;TSS1500
cg23370536,-0.09,0.013,1.000,1.00,chr4,55523824,KIT;KIT,TSS1500;TSS1500
cg27239842,-0.29,0.013,1.000,1.00,chr4,2403781,ZFYVE28,Body
cg19781309,0.11,0.013,1.000,1.00,chr17,25830583,KSR1,5'UTR
cg21179092,-0.15,0.013,1.000,1.00,chr12,124196769,ATP6V0A2,TSS200
cg16532497,0.16,0.013,1.000,1.00,chr4,44448931,KCTD8,Body
cg04109923,0.24,0.013,1.000,1.00,chr13,28495600,PDX1,Body
cg27624327,0.14,0.013,1.000,1.00,chr5,510254,SLC9A3,Body
cg04743947,-0.11,0.013,1.000,1.00,chr12,112820215,,
cg00732538,-0.14,0.013,1.000,1.00,chr16,87635674,JPH3,TSS1500
cg04869206,0.16,0.013,1.000,1.00,chr5,39074266,RICTOR,Body
cg06807086,-0.11,0.013,1.000,1.00,chr1,14071648,PRDM2;PRDM2;PRDM2,Body;Body;Body
cg24050414,0.09,0.013,1.000,1.00,chr19,8555061,PRAM1,3'UTR
cg07671622,0.06,0.013,1.000,1.00,chr16,70759994,VAC14,Body
cg10582749,-0.11,0.013,1.000,1.00,chr1,47974189,,
cg03060925,0.10,0.013,1.000,1.00,chr19,41256330,C19orf54;SNRPA,TSS1500;TSS1500
cg15761283,0.10,0.013,1.000,1.00,chr17,58603624,APPBP2,TSS200
cg07526106,-0.10,0.013,1.000,1.00,chr8,142262071,,
cg12002139,0.35,0.013,1.000,1.00,chr6,158478872,SYNJ2,Body
cg07173760,-0.13,0.013,1.000,1.00,chr19,40229266,CLC,TSS1500
cg08844325,-0.26,0.013,1.000,1.00,chr2,9459368,ASAP2;ASAP2,Body;Body
cg26950557,-0.14,0.013,1.000,1.00,chr5,38258441,EGFLAM,TSS200
cg09222791,0.10,0.013,1.000,1.00,chr16,66835320,CCDC79,5'UTR
cg13643376,-0.15,0.013,1.000,1.00,chr11,110583543,ARHGAP20,TSS200
cg19043574,0.15,0.013,1.000,1.00,chr2,99439533,C2orf55,Body
cg17304646,-0.15,0.013,1.000,1.00,chr3,125932534,,
cg17162031,0.14,0.013,1.000,1.00,chr2,1886127,MYT1L,Body
cg24975769,-0.10,0.013,1.000,1.00,chr11,6502990,FXC1;ARFIP2,Body;TSS1500
cg26670713,0.16,0.014,1.000,1.00,chr14,38095081,,
cg10057940,0.14,0.014,1.000,1.00,chr10,6805506,,
cg27185504,0.15,0.014,1.000,1.00,chr1,210466211,,
cg25181236,0.16,0.014,1.000,1.00,chr4,56387275,CLOCK,5'UTR
cg12233334,-0.10,0.014,1.000,1.00,chr3,49056086,DALRD3;DALRD3,TSS200;5'UTR
cg20266154,0.13,0.014,1.000,1.00,chr17,35165846,,
cg03545620,-0.08,0.014,1.000,1.00,chr1,26871525,RPS6KA1;RPS6KA1,TSS1500;Body
cg08178035,-0.08,0.014,1.000,1.00,chr12,7013863,LRRC23;LRRC23;LRRC23,TSS200;TSS200;TSS200
cg06407482,0.13,0.014,1.000,1.00,chr11,67375980,NDUFV1;NDUFV1,Body;Body
cg11527930,-0.12,0.014,1.000,1.00,chr5,107162110,,
cg03346410,-0.09,0.014,1.000,1.00,chr15,89631334,ABHD2;ABHD2,TSS200;TSS200
cg12926839,-0.11,0.014,1.000,1.00,chr7,150935770,CHPF2,3'UTR
cg00399650,0.12,0.014,1.000,1.00,chr7,141402322,KIAA1147,TSS1500
cg02964385,-0.17,0.014,1.000,1.00,chr6,36515676,STK38,TSS1500
cg18581405,-0.12,0.014,1.000,1.00,chr19,3180035,S1PR4;S1PR4,3'UTR;1stExon
cg04353483,-0.12,0.014,1.000,1.00,chr4,26493496,CCKAR,TSS1500
cg13775627,-0.12,0.014,1.000,1.00,chr19,15483883,AKAP8,Body
cg27566842,0.12,0.014,1.000,1.00,chr10,1509675,ADARB2,Body
cg14157844,0.15,0.014,1.000,1.00,chr10,123368181,,
cg01195858,-0.08,0.014,1.000,1.00,chr20,42839569,C20orf111,TSS200
cg17826986,0.14,0.014,1.000,1.00,chr1,153919374,DENND4B,TSS1500
cg07950469,-0.15,0.014,1.000,1.00,chr16,71265941,HYDIN;HYDIN,TSS1500;TSS1500
cg14424210,0.13,0.014,1.000,1.00,chr9,101832044,COL15A1,Body
cg14219256,-0.10,0.014,1.000,1.00,chr10,76779305,MYST4,Body
cg15988970,0.70,0.014,1.000,1.00,chr13,43597736,DNAJC15;DNAJC15,5'UTR;1stExon
cg02110031,0.13,0.014,1.000,1.00,chr2,37458730,CEBPZ;C2orf56;C2orf56;CEBPZ,5'UTR;TSS200;TSS200;1stExon
cg16356224,0.11,0.014,1.000,1.00,chr11,119235213,USP2;USP2,TSS1500;Body
cg19568003,0.37,0.014,1.000,1.00,chr19,57742217,AURKC;AURKC;AURKC,TSS200;TSS1500;TSS200
cg25011627,0.09,0.014,1.000,1.00,chr2,152042657,,
cg22821606,0.08,0.014,1.000,1.00,chr11,77532200,C11orf67;RSF1,TSS200;TSS1500
cg22431992,0.17,0.014,1.000,1.00,chr8,30244571,RBPMS;RBPMS;RBPMS;RBPMS,Body;Body;Body;Body
cg22187660,0.10,0.014,1.000,1.00,chr17,79253630,SLC38A10;SLC38A10,Body;Body
cg10804090,0.35,0.014,1.000,1.00,chr2,111878447,BCL2L11;BCL2L11;BCL2L11,TSS200;TSS200;TSS200
cg00547365,0.16,0.014,1.000,1.00,chr1,6605420,NOL9,Body
cg13698542,0.21,0.014,1.000,1.00,chr3,157213371,VEPH1;VEPH1;VEPH1;VEPH1;VEPH1;VEPH1,5'UTR;TSS200;5'UTR;5'UTR;5'UTR;5'UTR
cg08679971,0.23,0.014,1.000,1.00,chr19,38281047,,
